PollutantReleaseAndTransferReportID,CountryCode,CountryName,ReportingYear,CoordinateSystemCode,CoordinateSystemName,CdrReleased,Published
1,AT,Austria,2001,EPSG:4326,WGS 84,20060623000000,20061123000000
2,AT,Austria,2004,EPSG:4326,WGS 84,20060623000000,20070726163930.193
1894,AT,Austria,2016,EPSG:4326,WGS 84,20180628073937,20180807010100
2247,AT,Austria,2009,EPSG:4326,WGS 84,20190328140819,20190430010100
2250,AT,Austria,2007,EPSG:4326,WGS 84,20190328142828,20190430010100
2251,AT,Austria,2008,EPSG:4326,WGS 84,20190328141625,20190430010100
2253,AT,Austria,2011,EPSG:4326,WGS 84,20190328134621,20190430010100
2254,AT,Austria,2012,EPSG:4326,WGS 84,20190328133556,20190430010100
2255,AT,Austria,2010,EPSG:4326,WGS 84,20190328135518,20190430010100
2256,AT,Austria,2015,EPSG:4326,WGS 84,20190328131057,20190430010100
2257,AT,Austria,2013,EPSG:4326,WGS 84,20190328132611,20190430010100
2323,AT,Austria,2017,EPSG:4326,WGS 84,20190328125048,20190430010100
2324,AT,Austria,2014,EPSG:4326,WGS 84,20190328131603,20190430010100
2295,BE,Belgium,2017,EPSG:4326,WGS 84,20190401120740,20190430010100
1695,BE,Belgium,2008,EPSG:4326,WGS 84,20180322140512,20180426150000
1719,BE,Belgium,2009,EPSG:4326,WGS 84,20180322140500,20180426150000
1723,BE,Belgium,2013,EPSG:4326,WGS 84,20180322140420,20180426150000
1724,BE,Belgium,2011,EPSG:4326,WGS 84,20180322140443,20180426150000
1730,BE,Belgium,2014,EPSG:4326,WGS 84,20180322140412,20180426150000
1731,BE,Belgium,2015,EPSG:4326,WGS 84,20180322140401,20180426150000
1732,BE,Belgium,2016,EPSG:4326,WGS 84,20180322140346,20180426150000
1826,BE,Belgium,2007,EPSG:4326,WGS 84,20180322140522,20180807010100
1831,BE,Belgium,2012,EPSG:4326,WGS 84,20180322140432,20180807010100
1832,BE,Belgium,2010,EPSG:4326,WGS 84,20180322140452,20180807010100
3,BE,Belgium,2001,EPSG:4326,WGS 84,20050112000000,20050331000000
323,BE,Belgium,2004,EPSG:4326,WGS 84,20110201000000,20110502120000
677,BG,Bulgaria,2009,EPSG:4326,WGS 84,20140403201632,20140526010100
678,BG,Bulgaria,2010,EPSG:4326,WGS 84,20140403202241,20140526010100
780,BG,Bulgaria,2011,EPSG:4326,WGS 84,20150330151546,20100101010100
1796,BG,Bulgaria,2016,EPSG:4326,WGS 84,20180328105616,20180807010100
1592,BG,Bulgaria,2007,EPSG:4326,WGS 84,20180328114300,20180426150000
1609,BG,Bulgaria,2015,EPSG:4326,WGS 84,20180328133212,20180426150000
1610,BG,Bulgaria,2012,EPSG:4326,WGS 84,20180328122955,20180426150000
1611,BG,Bulgaria,2013,EPSG:4326,WGS 84,20180328124959,20180426150000
1597,BG,Bulgaria,2008,EPSG:4326,WGS 84,20180328120921,20180426150000
1614,BG,Bulgaria,2014,EPSG:4326,WGS 84,20180328130952,20180426150000
2244,BG,Bulgaria,2017,EPSG:4326,WGS 84,20190321122003,20190430010100
2240,HR,Croatia,2017,EPSG:4326,WGS 84,20190327122957,20190430010100
1948,HR,Croatia,2014,EPSG:4326,WGS 84,20171219104458,20180807010100
1949,HR,Croatia,2015,EPSG:4326,WGS 84,20171219110106,20180807010100
2237,HR,Croatia,2016,EPSG:4326,WGS 84,20190327114621,20190430010100
2234,CY,Cyprus,2017,EPSG:4326,WGS 84,20190329112536,20190430010100
5,CY,Cyprus,2004,EPSG:4326,WGS 84,20060616000000,20061220221446.367
2384,CY,Cyprus,2011,EPSG:4326,WGS 84,20190425060005,
2385,CY,Cyprus,2013,EPSG:4326,WGS 84,20190425061226,
2386,CY,Cyprus,2014,EPSG:4326,WGS 84,20190425061603,
2387,CY,Cyprus,2015,EPSG:4326,WGS 84,20190425062513,
2388,CY,Cyprus,2009,EPSG:4326,WGS 84,20190425055251,
2389,CY,Cyprus,2008,EPSG:4326,WGS 84,20190425053205,
2390,CY,Cyprus,2010,EPSG:4326,WGS 84,20190425055432,
2391,CY,Cyprus,2016,EPSG:4326,WGS 84,20190425063427,
2392,CY,Cyprus,2012,EPSG:4326,WGS 84,20190425060349,
2393,CY,Cyprus,2007,EPSG:4326,WGS 84,20190425052923,
